value,district,area,month
12.0,Auckland,Auckland East Area,2016-03-01
13.0,Auckland,Auckland East Area,2016-04-01
2.0,Auckland,Auckland East Area,2016-05-01
12.0,Auckland,Auckland East Area,2016-06-01
4.0,Auckland,Auckland East Area,2016-07-01
9.0,Auckland,Auckland East Area,2016-08-01
9.0,Auckland,Auckland East Area,2016-09-01
0.0,Auckland,Auckland West Area,2009-01-01
0.0,Auckland,Auckland West Area,2009-02-01
0.0,Auckland,Auckland West Area,2009-03-01
8.0,Auckland,Auckland West Area,2009-04-01
8.0,Auckland,Auckland West Area,2009-05-01
6.0,Auckland,Auckland West Area,2009-06-01
11.0,Auckland,Auckland West Area,2009-07-01
8.0,Auckland,Auckland West Area,2009-08-01
12.0,Auckland,Auckland West Area,2009-09-01
2.0,Auckland,Auckland West Area,2009-10-01
7.0,Auckland,Auckland West Area,2009-11-01
3.0,Auckland,Auckland West Area,2009-12-01
3.0,Auckland,Auckland West Area,2010-01-01
4.0,Auckland,Auckland West Area,2010-02-01
6.0,Auckland,Auckland West Area,2010-03-01
11.0,Auckland,Auckland West Area,2010-04-01
3.0,Auckland,Auckland West Area,2010-05-01
7.0,Auckland,Auckland West Area,2010-06-01
1.0,Auckland,Auckland West Area,2010-07-01
9.0,Auckland,Auckland West Area,2010-08-01
4.0,Auckland,Auckland West Area,2010-09-01
7.0,Auckland,Auckland West Area,2010-10-01
8.0,Auckland,Auckland West Area,2010-11-01
4.0,Auckland,Auckland West Area,2010-12-01
6.0,Auckland,Auckland West Area,2011-01-01
4.0,Auckland,Auckland West Area,2011-02-01
5.0,Auckland,Auckland West Area,2011-03-01
5.0,Auckland,Auckland West Area,2011-04-01
4.0,Auckland,Auckland West Area,2011-05-01
9.0,Auckland,Auckland West Area,2011-06-01
8.0,Auckland,Auckland West Area,2011-07-01
7.0,Auckland,Auckland West Area,2011-08-01
6.0,Auckland,Auckland West Area,2011-09-01
3.0,Auckland,Auckland West Area,2011-10-01
10.0,Auckland,Auckland West Area,2011-11-01
12.0,Auckland,Auckland West Area,2011-12-01
6.0,Auckland,Auckland West Area,2012-01-01
10.0,Auckland,Auckland West Area,2012-02-01
6.0,Auckland,Auckland West Area,2012-03-01
10.0,Auckland,Auckland West Area,2012-04-01
7.0,Auckland,Auckland West Area,2012-05-01
4.0,Auckland,Auckland West Area,2012-06-01
2.0,Auckland,Auckland West Area,2012-07-01
4.0,Auckland,Auckland West Area,2012-08-01
3.0,Auckland,Auckland West Area,2012-09-01
4.0,Auckland,Auckland West Area,2012-10-01
5.0,Auckland,Auckland West Area,2012-11-01
6.0,Auckland,Auckland West Area,2012-12-01
5.0,Auckland,Auckland West Area,2013-01-01
4.0,Auckland,Auckland West Area,2013-02-01
6.0,Auckland,Auckland West Area,2013-03-01
2.0,Auckland,Auckland West Area,2013-04-01
4.0,Auckland,Auckland West Area,2013-05-01
4.0,Auckland,Auckland West Area,2013-06-01
