value,series,district,area,speed,month
27.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2009-12-01
84.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2009-12-01
109.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2009-12-01
66.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2009-12-01
17.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2009-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2009-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2009-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2009-12-01
14.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2010-01-01
82.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2010-01-01
133.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2010-01-01
62.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2010-01-01
24.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2010-01-01
6.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2010-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2010-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2010-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2010-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, >50,2010-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2010-12-01
62.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2010-12-01
124.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2010-12-01
52.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2010-12-01
13.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2010-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2010-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2010-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2011-01-01
87.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2011-01-01
183.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2011-01-01
69.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2011-01-01
18.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2011-01-01
7.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2011-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2011-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2011-12-01
91.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2011-12-01
116.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2011-12-01
36.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2011-12-01
18.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2011-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2011-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2011-12-01
54.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2012-01-01
107.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2012-01-01
40.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2012-01-01
27.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2012-01-01
6.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2012-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2012-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2012-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2012-12-01
17.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2012-12-01
34.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2012-12-01
13.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2012-12-01
17.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2012-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2012-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2012-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, >50,2012-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2013-01-01
28.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2013-01-01
41.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2013-01-01
24.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2013-01-01
15.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2013-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2013-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2013-01-01
62.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2013-12-01
142.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2013-12-01
103.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2013-12-01
38.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2013-12-01
15.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2013-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2013-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2013-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2013-12-01
42.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2014-01-01
117.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2014-01-01
123.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2014-01-01
61.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2014-01-01
20.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2014-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2014-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2014-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2014-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, >50,2014-01-01
84.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2014-12-01
259.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2014-12-01
170.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2014-12-01
51.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2014-12-01
10.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2014-12-01
6.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2014-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2014-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2014-12-01
89.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2015-01-01
235.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2015-01-01
154.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2015-01-01
56.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2015-01-01
11.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2015-01-01
6.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2015-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2015-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2015-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 46-50,2015-01-01
116.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2015-12-01
169.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2015-12-01
101.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2015-12-01
33.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2015-12-01
20.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2015-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2015-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2015-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 41-45,2015-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, >50,2015-12-01
53.0,Officer-issued excess speed band,Auckland,Auckland Central Area, <11,2016-01-01
109.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 11-15,2016-01-01
113.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 16-20,2016-01-01
29.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 21-25,2016-01-01
16.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 26-30,2016-01-01
7.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 31-35,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland Central Area, 36-40,2016-01-01
4.0,Officer-issued excess speed band,Auckland,Auckland Central Area, >50,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2009-12-01
65.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2009-12-01
178.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2009-12-01
85.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2009-12-01
37.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2009-12-01
8.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2009-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2009-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2009-12-01
71.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2010-01-01
162.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2010-01-01
77.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2010-01-01
28.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2010-01-01
11.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2010-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2010-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2010-01-01
6.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2010-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2010-12-01
90.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2010-12-01
218.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2010-12-01
58.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2010-12-01
28.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2010-12-01
6.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2010-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2011-01-01
97.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2011-01-01
304.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2011-01-01
113.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2011-01-01
41.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2011-01-01
11.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2011-01-01
10.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2011-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 46-50,2011-01-01
23.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2011-12-01
120.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2011-12-01
179.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2011-12-01
53.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2011-12-01
11.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2011-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2011-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2011-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2012-01-01
91.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2012-01-01
185.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2012-01-01
62.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2012-01-01
14.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2012-01-01
7.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2012-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2012-01-01
11.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2012-12-01
23.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2012-12-01
33.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2012-12-01
24.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2012-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2012-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2012-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2012-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2013-01-01
20.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2013-01-01
62.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2013-01-01
29.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2013-01-01
15.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2013-01-01
7.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2013-01-01
4.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2013-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2013-01-01
146.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2013-12-01
198.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2013-12-01
85.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2013-12-01
20.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2013-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2013-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2013-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2013-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2013-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2013-12-01
32.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2014-01-01
180.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2014-01-01
147.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2014-01-01
46.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2014-01-01
18.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2014-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2014-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2014-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2014-01-01
42.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2014-12-01
219.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2014-12-01
156.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2014-12-01
55.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2014-12-01
29.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2014-12-01
6.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2014-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2014-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 46-50,2014-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2014-12-01
23.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2015-01-01
189.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2015-01-01
139.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2015-01-01
41.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2015-01-01
20.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2015-01-01
8.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2015-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2015-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, 41-45,2015-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 46-50,2015-01-01
85.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2015-12-01
274.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2015-12-01
213.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2015-12-01
91.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2015-12-01
51.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2015-12-01
12.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2015-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2015-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2015-12-01
58.0,Officer-issued excess speed band,Auckland,Auckland East Area, <11,2016-01-01
177.0,Officer-issued excess speed band,Auckland,Auckland East Area, 11-15,2016-01-01
132.0,Officer-issued excess speed band,Auckland,Auckland East Area, 16-20,2016-01-01
41.0,Officer-issued excess speed band,Auckland,Auckland East Area, 21-25,2016-01-01
28.0,Officer-issued excess speed band,Auckland,Auckland East Area, 26-30,2016-01-01
8.0,Officer-issued excess speed band,Auckland,Auckland East Area, 31-35,2016-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland East Area, 36-40,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, 46-50,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland East Area, >50,2016-01-01
136.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2009-12-01
249.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2009-12-01
113.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2009-12-01
39.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2009-12-01
11.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2009-12-01
9.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2009-12-01
107.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2010-01-01
221.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2010-01-01
92.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2010-01-01
40.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2010-01-01
12.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2010-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2010-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2010-01-01
4.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2010-12-01
199.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2010-12-01
212.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2010-12-01
76.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2010-12-01
22.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2010-12-01
7.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2010-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2010-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, >50,2010-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2011-01-01
211.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2011-01-01
198.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2011-01-01
56.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2011-01-01
14.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2011-01-01
7.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2011-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2011-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2011-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2011-01-01
24.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2011-12-01
164.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2011-12-01
152.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2011-12-01
63.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2011-12-01
17.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2011-12-01
5.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2011-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2011-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2011-12-01
18.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2012-01-01
254.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2012-01-01
225.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2012-01-01
71.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2012-01-01
19.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2012-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2012-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2012-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2012-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, >50,2012-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2012-12-01
100.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2012-12-01
95.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2012-12-01
28.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2012-12-01
6.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2012-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2012-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2012-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2012-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2013-01-01
119.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2013-01-01
99.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2013-01-01
30.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2013-01-01
8.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2013-01-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2013-01-01
431.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2013-12-01
384.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2013-12-01
140.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2013-12-01
40.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2013-12-01
9.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2013-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2013-12-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2013-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2013-12-01
432.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2014-01-01
336.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2014-01-01
106.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2014-01-01
29.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2014-01-01
11.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2014-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2014-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2014-01-01
223.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2014-12-01
281.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2014-12-01
80.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2014-12-01
25.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2014-12-01
4.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2014-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2014-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2014-12-01
162.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2015-01-01
299.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2015-01-01
106.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2015-01-01
28.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2015-01-01
8.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2015-01-01
4.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2015-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2015-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2015-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2015-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, >50,2015-01-01
180.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2015-12-01
200.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2015-12-01
88.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2015-12-01
22.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2015-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2015-12-01
3.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2015-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2015-12-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, >50,2015-12-01
59.0,Officer-issued excess speed band,Auckland,Auckland West Area, <11,2016-01-01
135.0,Officer-issued excess speed band,Auckland,Auckland West Area, 11-15,2016-01-01
74.0,Officer-issued excess speed band,Auckland,Auckland West Area, 16-20,2016-01-01
20.0,Officer-issued excess speed band,Auckland,Auckland West Area, 21-25,2016-01-01
5.0,Officer-issued excess speed band,Auckland,Auckland West Area, 26-30,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 31-35,2016-01-01
2.0,Officer-issued excess speed band,Auckland,Auckland West Area, 36-40,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 41-45,2016-01-01
1.0,Officer-issued excess speed band,Auckland,Auckland West Area, 46-50,2016-01-01
1.0,Officer-issued excess speed band,Bay Of Plenty,Eastern Bay of Plenty, <11,2009-12-01
