value,series,district,area,speed,year
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,16-20,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,36-40,2010-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,<11,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,11-15,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,16-20,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,<11,2012-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,11-15,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,21-25,2012-01-01
10.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,<11,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,11-15,2013-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,<11,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,<11,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,11-15,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wairarapa,41-45,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2009-01-01
11.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2009-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,16-20,2009-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2009-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2009-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2010-01-01
14.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2010-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,16-20,2010-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2010-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2010-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,31-35,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,36-40,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2010-01-01
17.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2011-01-01
23.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2011-01-01
10.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,16-20,2011-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2011-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2011-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,31-35,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,36-40,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,46-50,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,>50,2011-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2012-01-01
12.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2012-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2012-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,36-40,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2012-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2013-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2013-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,31-35,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,>50,2013-01-01
28.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2014-01-01
12.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2014-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,16-20,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2014-01-01
12.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,31-35,2014-01-01
10.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,36-40,2014-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2014-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,46-50,2014-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,>50,2014-01-01
22.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2015-01-01
17.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,16-20,2015-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2015-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2015-01-01
27.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,31-35,2015-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,36-40,2015-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2015-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,46-50,2015-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,>50,2015-01-01
10.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,<11,2016-01-01
11.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,11-15,2016-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,16-20,2016-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,21-25,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,26-30,2016-01-01
13.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,31-35,2016-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,36-40,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,41-45,2016-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Wellington,Wellington,>50,2016-01-01
