category,value,series,district,area,month
Restraints,162.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-06-01
Restraints,157.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-07-01
Restraints,232.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-08-01
Restraints,143.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-09-01
Restraints,181.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-10-01
Restraints,152.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-11-01
Restraints,176.0,Restraints (seatbelts),Auckland,Auckland West Area,2009-12-01
Restraints,195.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-01-01
Restraints,185.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-02-01
Restraints,170.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-03-01
Restraints,103.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-04-01
Restraints,94.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-05-01
Restraints,70.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-06-01
Restraints,124.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-07-01
Restraints,114.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-08-01
Restraints,146.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-09-01
Restraints,138.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-10-01
Restraints,87.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-11-01
Restraints,135.0,Restraints (seatbelts),Auckland,Auckland West Area,2010-12-01
Restraints,106.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-01-01
Restraints,64.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-02-01
Restraints,33.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-03-01
Restraints,33.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-04-01
Restraints,45.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-05-01
Restraints,64.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-06-01
Restraints,91.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-07-01
Restraints,114.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-08-01
Restraints,115.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-09-01
Restraints,153.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-10-01
Restraints,105.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-11-01
Restraints,112.0,Restraints (seatbelts),Auckland,Auckland West Area,2011-12-01
Restraints,101.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-01-01
Restraints,108.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-02-01
Restraints,66.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-03-01
Restraints,43.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-04-01
Restraints,56.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-05-01
Restraints,43.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-06-01
Restraints,44.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-07-01
Restraints,62.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-08-01
Restraints,47.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-09-01
Restraints,17.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-10-01
Restraints,80.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-11-01
Restraints,40.0,Restraints (seatbelts),Auckland,Auckland West Area,2012-12-01
Restraints,38.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-01-01
Restraints,26.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-02-01
Restraints,45.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-03-01
Restraints,33.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-04-01
Restraints,42.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-05-01
Restraints,37.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-06-01
Restraints,83.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-07-01
Restraints,100.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-08-01
Restraints,76.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-09-01
Restraints,138.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-10-01
Restraints,103.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-11-01
Restraints,90.0,Restraints (seatbelts),Auckland,Auckland West Area,2013-12-01
Restraints,94.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-01-01
Restraints,87.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-02-01
Restraints,96.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-03-01
Restraints,69.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-04-01
Restraints,64.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-05-01
Restraints,51.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-06-01
Restraints,46.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-07-01
Restraints,70.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-08-01
Restraints,56.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-09-01
Restraints,43.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-10-01
Restraints,40.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-11-01
Restraints,78.0,Restraints (seatbelts),Auckland,Auckland West Area,2014-12-01
Restraints,65.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-01-01
Restraints,160.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-02-01
Restraints,102.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-03-01
Restraints,53.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-04-01
Restraints,111.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-05-01
Restraints,92.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-06-01
Restraints,108.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-07-01
Restraints,86.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-08-01
Restraints,181.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-09-01
Restraints,118.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-10-01
Restraints,75.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-11-01
Restraints,50.0,Restraints (seatbelts),Auckland,Auckland West Area,2015-12-01
Restraints,61.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-01-01
Restraints,90.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-02-01
Restraints,116.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-03-01
Restraints,72.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-04-01
Restraints,47.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-05-01
Restraints,89.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-06-01
Restraints,70.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-07-01
Restraints,75.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-08-01
Restraints,72.0,Restraints (seatbelts),Auckland,Auckland West Area,2016-09-01
Restraints,59.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-01-01
Restraints,60.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-02-01
Restraints,119.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-03-01
Restraints,94.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-04-01
Restraints,46.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-05-01
Restraints,83.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-06-01
Restraints,49.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-07-01
Restraints,52.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-08-01
Restraints,107.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-09-01
Restraints,101.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-10-01
Restraints,109.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-11-01
Restraints,90.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2009-12-01
Restraints,68.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-01-01
Restraints,50.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-02-01
Restraints,122.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-03-01
Restraints,86.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-04-01
Restraints,44.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-05-01
Restraints,51.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-06-01
Restraints,59.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-07-01
Restraints,75.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-08-01
Restraints,50.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-09-01
Restraints,68.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-10-01
Restraints,43.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-11-01
Restraints,92.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2010-12-01
Restraints,90.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-01-01
Restraints,73.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-02-01
Restraints,96.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-03-01
Restraints,82.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-04-01
Restraints,60.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-05-01
Restraints,43.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-06-01
Restraints,53.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-07-01
Restraints,64.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-08-01
Restraints,92.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-09-01
Restraints,136.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-10-01
Restraints,142.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-11-01
Restraints,143.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2011-12-01
Restraints,90.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-01-01
Restraints,52.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-02-01
Restraints,78.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-03-01
Restraints,49.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-04-01
Restraints,53.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-05-01
Restraints,38.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-06-01
Restraints,64.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-07-01
Restraints,69.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-08-01
Restraints,42.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-09-01
Restraints,61.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-10-01
Restraints,134.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-11-01
Restraints,114.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2012-12-01
Restraints,72.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-01-01
Restraints,54.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-02-01
Restraints,53.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-03-01
Restraints,32.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-04-01
Restraints,53.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-05-01
Restraints,33.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-06-01
Restraints,52.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-07-01
Restraints,61.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-08-01
Restraints,105.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-09-01
Restraints,59.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-10-01
Restraints,86.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-11-01
Restraints,91.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2013-12-01
Restraints,72.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-01-01
Restraints,112.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-02-01
Restraints,93.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-03-01
Restraints,70.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-04-01
Restraints,70.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-05-01
Restraints,73.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-06-01
Restraints,76.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-07-01
Restraints,170.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-08-01
Restraints,141.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-09-01
Restraints,117.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-10-01
Restraints,109.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-11-01
Restraints,98.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2014-12-01
Restraints,118.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-01-01
Restraints,90.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-02-01
Restraints,70.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-03-01
Restraints,43.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-04-01
Restraints,51.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-05-01
Restraints,41.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-06-01
Restraints,62.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-07-01
Restraints,84.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-08-01
Restraints,164.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-09-01
Restraints,122.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-10-01
Restraints,93.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-11-01
Restraints,127.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2015-12-01
Restraints,71.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-01-01
Restraints,89.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-02-01
Restraints,150.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-03-01
Restraints,112.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-04-01
Restraints,83.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-05-01
Restraints,81.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-06-01
Restraints,136.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-07-01
Restraints,160.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-08-01
Restraints,151.0,Restraints (seatbelts),Bay Of Plenty,Eastern Bay of Plenty,2016-09-01
Restraints,52.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-01-01
Restraints,230.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-02-01
Restraints,245.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-03-01
Restraints,109.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-04-01
Restraints,159.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-05-01
Restraints,114.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-06-01
Restraints,109.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-07-01
Restraints,179.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-08-01
Restraints,329.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-09-01
Restraints,137.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-10-01
Restraints,169.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-11-01
Restraints,246.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2009-12-01
Restraints,170.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-01-01
Restraints,162.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-02-01
Restraints,196.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-03-01
Restraints,132.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-04-01
Restraints,142.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-05-01
Restraints,219.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-06-01
Restraints,98.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-07-01
Restraints,132.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-08-01
Restraints,125.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-09-01
Restraints,163.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-10-01
Restraints,221.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-11-01
Restraints,144.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2010-12-01
Restraints,141.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-01-01
Restraints,100.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-02-01
Restraints,109.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-03-01
Restraints,70.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-04-01
Restraints,110.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-05-01
Restraints,83.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-06-01
Restraints,140.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-07-01
Restraints,219.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-08-01
Restraints,218.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-09-01
Restraints,177.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-10-01
Restraints,166.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-11-01
Restraints,143.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2011-12-01
Restraints,138.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-01-01
Restraints,145.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-02-01
Restraints,176.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-03-01
Restraints,103.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-04-01
Restraints,266.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-05-01
Restraints,143.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-06-01
Restraints,253.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-07-01
Restraints,246.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-08-01
Restraints,187.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-09-01
Restraints,221.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-10-01
Restraints,290.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-11-01
Restraints,174.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2012-12-01
Restraints,174.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-01-01
Restraints,231.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-02-01
Restraints,124.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-03-01
Restraints,151.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-04-01
Restraints,213.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-05-01
Restraints,119.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-06-01
Restraints,206.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-07-01
Restraints,164.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-08-01
Restraints,169.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-09-01
Restraints,287.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-10-01
Restraints,233.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-11-01
Restraints,150.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2013-12-01
Restraints,172.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-01-01
Restraints,210.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-02-01
Restraints,318.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-03-01
Restraints,184.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-04-01
Restraints,204.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-05-01
Restraints,98.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-06-01
Restraints,131.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-07-01
Restraints,180.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-08-01
Restraints,128.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-09-01
Restraints,170.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-10-01
Restraints,181.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-11-01
Restraints,126.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2014-12-01
Restraints,148.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-01-01
Restraints,166.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-02-01
Restraints,185.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-03-01
Restraints,165.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-04-01
Restraints,161.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-05-01
Restraints,178.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-06-01
Restraints,188.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-07-01
Restraints,129.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-08-01
Restraints,109.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-09-01
Restraints,118.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-10-01
Restraints,126.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-11-01
Restraints,155.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2015-12-01
Restraints,126.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-01-01
Restraints,73.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-02-01
Restraints,73.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-03-01
Restraints,59.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-04-01
Restraints,57.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-05-01
Restraints,44.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-06-01
Restraints,74.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-07-01
Restraints,79.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-08-01
Restraints,51.0,Restraints (seatbelts),Bay Of Plenty,Rotorua,2016-09-01
Restraints,80.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-01-01
Restraints,148.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-02-01
Restraints,269.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-03-01
Restraints,112.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-04-01
Restraints,199.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-05-01
Restraints,77.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-06-01
Restraints,133.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-07-01
Restraints,221.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-08-01
Restraints,203.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-09-01
Restraints,209.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-10-01
Restraints,113.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-11-01
Restraints,172.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2009-12-01
Restraints,124.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-01-01
Restraints,103.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-02-01
Restraints,110.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-03-01
Restraints,88.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-04-01
Restraints,97.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-05-01
Restraints,103.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-06-01
Restraints,97.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-07-01
Restraints,100.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-08-01
Restraints,90.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-09-01
Restraints,107.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-10-01
Restraints,82.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-11-01
Restraints,94.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2010-12-01
Restraints,113.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-01-01
Restraints,65.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-02-01
Restraints,88.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-03-01
Restraints,41.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-04-01
Restraints,37.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-05-01
Restraints,49.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-06-01
Restraints,64.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-07-01
Restraints,87.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-08-01
Restraints,87.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-09-01
Restraints,62.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-10-01
Restraints,64.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-11-01
Restraints,58.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2011-12-01
Restraints,136.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-01-01
Restraints,93.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-02-01
Restraints,115.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-03-01
Restraints,75.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-04-01
Restraints,83.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-05-01
Restraints,64.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-06-01
Restraints,78.0,Restraints (seatbelts),Bay Of Plenty,Taupo,2012-07-01
