value,district,month
4.0,Tasman,2016-04-01
5.0,Tasman,2016-05-01
8.0,Tasman,2016-06-01
9.0,Tasman,2016-07-01
6.0,Tasman,2016-08-01
8.0,Tasman,2016-09-01
16.0,Waikato,2009-01-01
15.0,Waikato,2009-02-01
18.0,Waikato,2009-03-01
16.0,Waikato,2009-04-01
17.0,Waikato,2009-05-01
21.0,Waikato,2009-06-01
14.0,Waikato,2009-07-01
23.0,Waikato,2009-08-01
16.0,Waikato,2009-09-01
13.0,Waikato,2009-10-01
12.0,Waikato,2009-11-01
18.0,Waikato,2009-12-01
15.0,Waikato,2010-01-01
15.0,Waikato,2010-02-01
10.0,Waikato,2010-03-01
11.0,Waikato,2010-04-01
16.0,Waikato,2010-05-01
16.0,Waikato,2010-06-01
16.0,Waikato,2010-07-01
19.0,Waikato,2010-08-01
22.0,Waikato,2010-09-01
22.0,Waikato,2010-10-01
22.0,Waikato,2010-11-01
24.0,Waikato,2010-12-01
10.0,Waikato,2011-01-01
19.0,Waikato,2011-02-01
17.0,Waikato,2011-03-01
18.0,Waikato,2011-04-01
13.0,Waikato,2011-05-01
10.0,Waikato,2011-06-01
13.0,Waikato,2011-07-01
21.0,Waikato,2011-08-01
14.0,Waikato,2011-09-01
27.0,Waikato,2011-10-01
20.0,Waikato,2011-11-01
16.0,Waikato,2011-12-01
24.0,Waikato,2012-01-01
20.0,Waikato,2012-02-01
21.0,Waikato,2012-03-01
21.0,Waikato,2012-04-01
20.0,Waikato,2012-05-01
12.0,Waikato,2012-06-01
16.0,Waikato,2012-07-01
9.0,Waikato,2012-08-01
12.0,Waikato,2012-09-01
15.0,Waikato,2012-10-01
16.0,Waikato,2012-11-01
26.0,Waikato,2012-12-01
11.0,Waikato,2013-01-01
12.0,Waikato,2013-02-01
17.0,Waikato,2013-03-01
9.0,Waikato,2013-04-01
18.0,Waikato,2013-05-01
12.0,Waikato,2013-06-01
19.0,Waikato,2013-07-01
23.0,Waikato,2013-08-01
26.0,Waikato,2013-09-01
24.0,Waikato,2013-10-01
30.0,Waikato,2013-11-01
18.0,Waikato,2013-12-01
22.0,Waikato,2014-01-01
14.0,Waikato,2014-02-01
17.0,Waikato,2014-03-01
11.0,Waikato,2014-04-01
22.0,Waikato,2014-05-01
19.0,Waikato,2014-06-01
13.0,Waikato,2014-07-01
17.0,Waikato,2014-08-01
17.0,Waikato,2014-09-01
19.0,Waikato,2014-10-01
15.0,Waikato,2014-11-01
21.0,Waikato,2014-12-01
23.0,Waikato,2015-01-01
12.0,Waikato,2015-02-01
19.0,Waikato,2015-03-01
23.0,Waikato,2015-04-01
21.0,Waikato,2015-05-01
21.0,Waikato,2015-06-01
39.0,Waikato,2015-07-01
28.0,Waikato,2015-08-01
27.0,Waikato,2015-09-01
18.0,Waikato,2015-10-01
19.0,Waikato,2015-11-01
11.0,Waikato,2015-12-01
23.0,Waikato,2016-01-01
26.0,Waikato,2016-02-01
23.0,Waikato,2016-03-01
21.0,Waikato,2016-04-01
19.0,Waikato,2016-05-01
17.0,Waikato,2016-06-01
24.0,Waikato,2016-07-01
24.0,Waikato,2016-08-01
16.0,Waikato,2016-09-01
30.0,Waitemata,2009-01-01
19.0,Waitemata,2009-02-01
27.0,Waitemata,2009-03-01
21.0,Waitemata,2009-04-01
26.0,Waitemata,2009-05-01
29.0,Waitemata,2009-06-01
18.0,Waitemata,2009-07-01
26.0,Waitemata,2009-08-01
21.0,Waitemata,2009-09-01
14.0,Waitemata,2009-10-01
26.0,Waitemata,2009-11-01
23.0,Waitemata,2009-12-01
17.0,Waitemata,2010-01-01
15.0,Waitemata,2010-02-01
20.0,Waitemata,2010-03-01
22.0,Waitemata,2010-04-01
19.0,Waitemata,2010-05-01
19.0,Waitemata,2010-06-01
23.0,Waitemata,2010-07-01
16.0,Waitemata,2010-08-01
20.0,Waitemata,2010-09-01
23.0,Waitemata,2010-10-01
22.0,Waitemata,2010-11-01
20.0,Waitemata,2010-12-01
22.0,Waitemata,2011-01-01
22.0,Waitemata,2011-02-01
25.0,Waitemata,2011-03-01
23.0,Waitemata,2011-04-01
38.0,Waitemata,2011-05-01
29.0,Waitemata,2011-06-01
16.0,Waitemata,2011-07-01
45.0,Waitemata,2011-08-01
27.0,Waitemata,2011-09-01
29.0,Waitemata,2011-10-01
15.0,Waitemata,2011-11-01
30.0,Waitemata,2011-12-01
33.0,Waitemata,2012-01-01
28.0,Waitemata,2012-02-01
29.0,Waitemata,2012-03-01
23.0,Waitemata,2012-04-01
35.0,Waitemata,2012-05-01
18.0,Waitemata,2012-06-01
19.0,Waitemata,2012-07-01
22.0,Waitemata,2012-08-01
21.0,Waitemata,2012-09-01
27.0,Waitemata,2012-10-01
15.0,Waitemata,2012-11-01
28.0,Waitemata,2012-12-01
18.0,Waitemata,2013-01-01
16.0,Waitemata,2013-02-01
32.0,Waitemata,2013-03-01
16.0,Waitemata,2013-04-01
16.0,Waitemata,2013-05-01
18.0,Waitemata,2013-06-01
17.0,Waitemata,2013-07-01
30.0,Waitemata,2013-08-01
20.0,Waitemata,2013-09-01
26.0,Waitemata,2013-10-01
21.0,Waitemata,2013-11-01
16.0,Waitemata,2013-12-01
21.0,Waitemata,2014-01-01
12.0,Waitemata,2014-02-01
23.0,Waitemata,2014-03-01
18.0,Waitemata,2014-04-01
12.0,Waitemata,2014-05-01
20.0,Waitemata,2014-06-01
22.0,Waitemata,2014-07-01
22.0,Waitemata,2014-08-01
8.0,Waitemata,2014-09-01
19.0,Waitemata,2014-10-01
17.0,Waitemata,2014-11-01
17.0,Waitemata,2014-12-01
32.0,Waitemata,2015-01-01
26.0,Waitemata,2015-02-01
35.0,Waitemata,2015-03-01
29.0,Waitemata,2015-04-01
28.0,Waitemata,2015-05-01
20.0,Waitemata,2015-06-01
19.0,Waitemata,2015-07-01
20.0,Waitemata,2015-08-01
23.0,Waitemata,2015-09-01
22.0,Waitemata,2015-10-01
10.0,Waitemata,2015-11-01
27.0,Waitemata,2015-12-01
35.0,Waitemata,2016-01-01
14.0,Waitemata,2016-02-01
35.0,Waitemata,2016-03-01
28.0,Waitemata,2016-04-01
30.0,Waitemata,2016-05-01
23.0,Waitemata,2016-06-01
37.0,Waitemata,2016-07-01
29.0,Waitemata,2016-08-01
27.0,Waitemata,2016-09-01
12.0,Wellington,2009-01-01
12.0,Wellington,2009-02-01
19.0,Wellington,2009-03-01
19.0,Wellington,2009-04-01
26.0,Wellington,2009-05-01
16.0,Wellington,2009-06-01
15.0,Wellington,2009-07-01
15.0,Wellington,2009-08-01
12.0,Wellington,2009-09-01
17.0,Wellington,2009-10-01
18.0,Wellington,2009-11-01
19.0,Wellington,2009-12-01
20.0,Wellington,2010-01-01
11.0,Wellington,2010-02-01
12.0,Wellington,2010-03-01
19.0,Wellington,2010-04-01
10.0,Wellington,2010-05-01
11.0,Wellington,2010-06-01
16.0,Wellington,2010-07-01
12.0,Wellington,2010-08-01
19.0,Wellington,2010-09-01
14.0,Wellington,2010-10-01
18.0,Wellington,2010-11-01
11.0,Wellington,2010-12-01
15.0,Wellington,2011-01-01
14.0,Wellington,2011-02-01
23.0,Wellington,2011-03-01
18.0,Wellington,2011-04-01
20.0,Wellington,2011-05-01
9.0,Wellington,2011-06-01
17.0,Wellington,2011-07-01
13.0,Wellington,2011-08-01
16.0,Wellington,2011-09-01
22.0,Wellington,2011-10-01
17.0,Wellington,2011-11-01
23.0,Wellington,2011-12-01
22.0,Wellington,2012-01-01
13.0,Wellington,2012-02-01
20.0,Wellington,2012-03-01
21.0,Wellington,2012-04-01
14.0,Wellington,2012-05-01
14.0,Wellington,2012-06-01
18.0,Wellington,2012-07-01
25.0,Wellington,2012-08-01
14.0,Wellington,2012-09-01
22.0,Wellington,2012-10-01
11.0,Wellington,2012-11-01
32.0,Wellington,2012-12-01
29.0,Wellington,2013-01-01
15.0,Wellington,2013-02-01
19.0,Wellington,2013-03-01
19.0,Wellington,2013-04-01
15.0,Wellington,2013-05-01
12.0,Wellington,2013-06-01
15.0,Wellington,2013-07-01
16.0,Wellington,2013-08-01
19.0,Wellington,2013-09-01
24.0,Wellington,2013-10-01
15.0,Wellington,2013-11-01
20.0,Wellington,2013-12-01
15.0,Wellington,2014-01-01
15.0,Wellington,2014-02-01
26.0,Wellington,2014-03-01
17.0,Wellington,2014-04-01
31.0,Wellington,2014-05-01
22.0,Wellington,2014-06-01
18.0,Wellington,2014-07-01
19.0,Wellington,2014-08-01
19.0,Wellington,2014-09-01
27.0,Wellington,2014-10-01
36.0,Wellington,2014-11-01
20.0,Wellington,2014-12-01
16.0,Wellington,2015-01-01
25.0,Wellington,2015-02-01
21.0,Wellington,2015-03-01
16.0,Wellington,2015-04-01
22.0,Wellington,2015-05-01
25.0,Wellington,2015-06-01
21.0,Wellington,2015-07-01
27.0,Wellington,2015-08-01
19.0,Wellington,2015-09-01
22.0,Wellington,2015-10-01
20.0,Wellington,2015-11-01
28.0,Wellington,2015-12-01
29.0,Wellington,2016-01-01
30.0,Wellington,2016-02-01
20.0,Wellington,2016-03-01
24.0,Wellington,2016-04-01
22.0,Wellington,2016-05-01
26.0,Wellington,2016-06-01
29.0,Wellington,2016-07-01
20.0,Wellington,2016-08-01
27.0,Wellington,2016-09-01
