value,district,month
23.0,Bay Of Plenty,2013-10-01
25.0,Bay Of Plenty,2013-11-01
19.0,Bay Of Plenty,2013-12-01
11.0,Bay Of Plenty,2014-01-01
11.0,Bay Of Plenty,2014-02-01
19.0,Bay Of Plenty,2014-03-01
13.0,Bay Of Plenty,2014-04-01
20.0,Bay Of Plenty,2014-05-01
19.0,Bay Of Plenty,2014-06-01
15.0,Bay Of Plenty,2014-07-01
21.0,Bay Of Plenty,2014-08-01
19.0,Bay Of Plenty,2014-09-01
16.0,Bay Of Plenty,2014-10-01
24.0,Bay Of Plenty,2014-11-01
21.0,Bay Of Plenty,2014-12-01
28.0,Bay Of Plenty,2015-01-01
16.0,Bay Of Plenty,2015-02-01
17.0,Bay Of Plenty,2015-03-01
27.0,Bay Of Plenty,2015-04-01
24.0,Bay Of Plenty,2015-05-01
23.0,Bay Of Plenty,2015-06-01
35.0,Bay Of Plenty,2015-07-01
27.0,Bay Of Plenty,2015-08-01
35.0,Bay Of Plenty,2015-09-01
34.0,Bay Of Plenty,2015-10-01
27.0,Bay Of Plenty,2015-11-01
23.0,Bay Of Plenty,2015-12-01
18.0,Bay Of Plenty,2016-01-01
13.0,Bay Of Plenty,2016-02-01
27.0,Bay Of Plenty,2016-03-01
23.0,Bay Of Plenty,2016-04-01
25.0,Bay Of Plenty,2016-05-01
27.0,Bay Of Plenty,2016-06-01
26.0,Bay Of Plenty,2016-07-01
36.0,Bay Of Plenty,2016-08-01
26.0,Bay Of Plenty,2016-09-01
10.0,Canterbury,2009-01-01
12.0,Canterbury,2009-02-01
15.0,Canterbury,2009-03-01
22.0,Canterbury,2009-04-01
15.0,Canterbury,2009-05-01
21.0,Canterbury,2009-06-01
23.0,Canterbury,2009-07-01
17.0,Canterbury,2009-08-01
20.0,Canterbury,2009-09-01
26.0,Canterbury,2009-10-01
22.0,Canterbury,2009-11-01
24.0,Canterbury,2009-12-01
22.0,Canterbury,2010-01-01
19.0,Canterbury,2010-02-01
19.0,Canterbury,2010-03-01
20.0,Canterbury,2010-04-01
25.0,Canterbury,2010-05-01
19.0,Canterbury,2010-06-01
20.0,Canterbury,2010-07-01
17.0,Canterbury,2010-08-01
